tripduration,starttime,stoptime,start station latitude,start station longitude,end station latitude,end station longitude,bikeid,usertype,birth year,gender
329,47:08.4,52:38.2,40.71458404,-74.04281706,40.7183552,-74.03891444,26219,Subscriber,1989,2
395,47:21.6,53:56.6,40.71958612,-74.04311746,40.7272235,-74.0337589,26296,Subscriber,1983,1
220,47:52.4,51:33.1,40.7241765,-74.0506564,40.71958612,-74.04311746,29505,Subscriber,1990,2
214,49:34.5,53:08.8,40.72759597,-74.04424731,40.71958612,-74.04311746,29258,Subscriber,1984,1
372,50:09.3,56:21.4,40.71942,-74.05099,40.72152515,-74.04630454,29583,Subscriber,1979,1
397,50:43.4,57:21.3,40.72210379,-74.071455,40.7308971,-74.06391263,29123,Subscriber,1983,2
319,50:53.9,56:13.8,40.71942,-74.05099,40.72152515,-74.04630454,26198,Subscriber,1979,2
212,59:42.5,03:14.6,40.7311689,-74.0575736,40.73367,-74.0625,29642,Subscriber,1970,1
224,01:04.3,04:49.0,40.71958612,-74.04311746,40.7211236,-74.03805095,29258,Subscriber,1979,1
231,01:13.7,05:04.8,40.71958612,-74.04311746,40.7211236,-74.03805095,29126,Subscriber,1979,2
332,02:47.6,08:20.5,40.71458404,-74.04281706,40.72165072,-74.04288411,26271,Subscriber,1988,1
383,02:53.2,09:16.7,40.7192822,-74.07126188,40.7308971,-74.06391263,29295,Subscriber,1988,1
857,05:05.9,19:23.2,40.7127742,-74.0364857,40.7112423,-74.0557013,29308,Subscriber,1986,1
455,05:17.0,12:52.7,40.72759597,-74.04424731,40.7211236,-74.03805095,26295,Subscriber,1984,2
167,06:10.3,08:57.9,40.7272235,-74.0337589,40.7242941,-74.0354826,26296,Subscriber,1992,2
175,08:53.7,11:48.8,40.71458404,-74.04281706,40.71958612,-74.04311746,26238,Subscriber,1979,1
695,10:41.9,22:17.0,40.71435837,-74.06661093,40.72568548,-74.04879034,29492,Subscriber,1985,1
128,14:09.1,16:17.3,40.7183552,-74.03891444,40.71517768,-74.03768331,26185,Subscriber,1985,1
303,17:30.9,22:34.9,40.72755147,-74.07106072,40.7308971,-74.06391263,26268,Customer,1969,0
411,20:32.0,27:24.0,40.72568548,-74.04879034,40.7183552,-74.03891444,29547,Subscriber,1988,2
616,20:51.2,31:07.9,40.74267714,-74.05178863,40.72152515,-74.04630454,29455,Subscriber,1979,2
703,22:05.1,33:48.4,40.73496102,-74.05950308,40.7112423,-74.0557013,26200,Subscriber,1974,1
256,23:25.0,27:41.2,40.71958612,-74.04311746,40.7192517,-74.034234,26238,Subscriber,1988,1
218,25:46.2,29:24.4,40.72163014,-74.04996783,40.71958612,-74.04311746,29612,Subscriber,1994,1
165,26:10.5,28:55.7,40.72163014,-74.04996783,40.71958612,-74.04311746,26156,Customer,1969,0
452,28:53.6,36:25.7,40.7308971,-74.06391263,40.7246051,-74.07840595,29298,Subscriber,1996,1
95,29:24.0,30:59.1,40.7272235,-74.0337589,40.7242941,-74.0354826,29232,Subscriber,1979,1
371,29:50.5,36:02.3,40.7272235,-74.0337589,40.71958612,-74.04311746,29527,Subscriber,1962,1
235,30:13.6,34:09.0,40.72165072,-74.04288411,40.7242941,-74.0354826,26271,Subscriber,1994,1
341,30:15.5,35:56.7,40.74267714,-74.05178863,40.73367,-74.0625,29437,Subscriber,1969,1
187,34:14.5,37:22.2,40.72163014,-74.04996783,40.71958612,-74.04311746,29491,Subscriber,1984,2
231,36:17.6,40:09.5,40.71241882,-74.03852552,40.71687,-74.03281,29287,Subscriber,1986,2
192,42:37.5,45:50.0,40.72152515,-74.04630454,40.72759597,-74.04424731,29623,Subscriber,1980,2
341,44:36.8,50:18.4,40.72568548,-74.04879034,40.7177325,-74.043845,29526,Subscriber,1980,2
443,45:00.8,52:24.6,40.7183552,-74.03891444,40.72568548,-74.04879034,29547,Subscriber,1988,2
164,47:45.4,50:30.4,40.71653978,-74.04963791,40.71649,-74.04105,26284,Subscriber,1993,1
375,52:09.0,58:24.3,40.71241882,-74.03852552,40.7211236,-74.03805095,29249,Subscriber,1995,2
178,54:06.8,57:04.8,40.7242941,-74.0354826,40.7272235,-74.0337589,29469,Subscriber,1992,2
348,56:20.9,02:09.1,40.71958612,-74.04311746,40.72759597,-74.04424731,29656,Subscriber,1984,1
405,58:12.3,04:58.3,40.7287448,-74.0321082,40.7183552,-74.03891444,26235,Subscriber,1990,1
231,05:30.8,09:21.8,40.71517768,-74.03768331,40.7211236,-74.03805095,26170,Subscriber,1985,2
283,06:43.8,11:27.8,40.7242941,-74.0354826,40.71687,-74.03281,26296,Subscriber,1994,1
307,07:34.7,12:42.1,40.71241882,-74.03852552,40.7183552,-74.03891444,26163,Subscriber,1992,2
368,09:35.3,15:44.0,40.71241882,-74.03852552,40.7192517,-74.034234,26184,Subscriber,1977,1
301,13:04.3,18:05.8,40.72165072,-74.04288411,40.72601173,-74.05038893,29534,Subscriber,1989,2
271,19:26.8,23:57.9,40.71653978,-74.04963791,40.71958612,-74.04311746,26289,Subscriber,1983,1
272,19:34.0,24:06.1,40.71653978,-74.04963791,40.71958612,-74.04311746,29676,Subscriber,1986,2
450,23:23.3,30:54.1,40.72528911,-74.04557168,40.72528911,-74.04557168,29549,Subscriber,1987,2
215,26:20.8,29:56.3,40.7192517,-74.034234,40.71958612,-74.04311746,26184,Subscriber,1988,1
305,32:20.7,37:26.3,40.7192517,-74.034234,40.72333159,-74.04595256,26216,Subscriber,1977,1
391,32:48.1,39:19.5,40.7272235,-74.0337589,40.72165072,-74.04288411,29268,Subscriber,1994,1
400,33:40.5,40:20.6,40.7192822,-74.07126188,40.7308971,-74.06391263,26263,Subscriber,1988,1
2524,35:15.4,17:20.1,40.73367,-74.0625,40.72601173,-74.05038893,29539,Subscriber,1970,1
562,36:07.2,45:29.9,40.72165072,-74.04288411,40.7287448,-74.0321082,29611,Customer,1995,2
428,44:41.8,51:50.3,40.72533993,-74.06762213,40.73367,-74.0625,29448,Subscriber,1987,1
510,49:08.0,57:38.9,40.7236589,-74.0641943,40.7177325,-74.043845,29514,Subscriber,1994,1
177,52:02.3,55:00.0,40.72333159,-74.04595256,40.71958612,-74.04311746,29480,Subscriber,1978,1
383,00:19.8,06:43.8,40.72601173,-74.05038893,40.71958612,-74.04311746,29449,Subscriber,1990,1
2165,18:13.1,54:18.4,40.72601173,-74.05038893,40.72152515,-74.04630454,29539,Subscriber,1970,1
380,24:07.3,30:27.3,40.7211236,-74.03805095,40.7127742,-74.0364857,26170,Subscriber,1985,2
367,37:11.1,43:18.4,40.72533993,-74.06762213,40.7308971,-74.06391263,26155,Customer,1989,2
300,43:05.3,48:05.6,40.7183552,-74.03891444,40.71241882,-74.03852552,26219,Subscriber,1992,2
441,49:14.8,56:36.1,40.72533993,-74.06762213,40.737711,-74.066921,29444,Subscriber,1991,1
